Country,th_10,th_15,th_20,th_25,th_30,th_50,th_75,loss_10,loss_15,loss_20,loss_25,loss_30,loss_50,loss_75
Northern Cyprus,26020.99502,21835.57231,20025.28849,15228.7591,12307.27553,7631.233597,2870.951446,292,264,250,240,223,165,78
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,12814179.13,12248938.7,12155487.72,11977754.21,11739520.81,9807526.094,6246633.116,526279,525273,524929,524484,523966,515241,467548
Oman,1225.618422,185.7085353,12.74767396,2.350356043,0.35978744,0.290549983,0.069278618,9,1,0,0,0,0,0
Pakistan,1629948.876,1291321.882,1222965.43,1074605.365,978655.9536,666940.2476,334857.674,9563,9433,9353,9297,9268,8172,4616
Palau,42196.63031,41860.47971,41642.19557,41527.22263,41263.38893,40143.00046,37422.4369,649,648,647,646,645,638,598
Palestina,1652.328917,1257.147597,1134.060673,732.2528456,614.701285,272.7589124,72.85655634,35,26,22,17,16,8,1
Panama,5942133.707,5871667.382,5807149.794,5763631.284,5700499.758,5454716.707,4969309.435,324030,323340,322585,322073,321290,313779,283947
Papua New Guinea,43708040.79,43427170.42,43288480.7,43157489.75,42938236.99,41992853.96,39663962.83,1166901,1165447,1164263,1163453,1162026,1152041,1094288
Paracel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,26916419.19,26450845.3,25774238.58,25009614.5,24296866.78,13995685.57,7547196.827,5191644,5175175,5154941,5137578,5099895,3068031,1616707
Peru,79062782.21,78702682.52,78435701.01,78234343.11,78069281.28,76814349.41,74458759.82,2376347,2374509,2372552,2371123,2369321,2349998,2298523
Philippines,19798521.59,19384343.84,19165121,18993927.57,18599416.52,17415156.34,14110099.63,993368,988121,985079,983417,976330,956438,843660
Pitcairn Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,11186380.9,10911255.76,10782026.9,10651548.11,10461916.81,9550501.827,6485773.327,809397,806163,804545,803519,802172,776017,625139
Portugal,3006360.138,2755905.487,2601288.135,2462945.766,2302478.37,1589975.68,914493.7705,788096,762807,745851,734652,718958,569571,359496
Puerto Rico,561250.098,547087.5007,538424.4988,531710.5769,523696.3361,491958.9694,438136.5758,16549,16378,16252,16160,16046,15144,12778
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Congo,33515797.65,32477965.45,29285884.27,28568094.43,26384045.99,23941471.92,21417400.22,617139,614530,601400,598032,585669,535364,361298
Reunion,203273.4812,199755.9657,183763.8129,180346.3607,170474.5251,131489.0408,74205.59236,6275,6232,6020,5955,5712,4260,1626
Romania,8499167.926,8307314.1,8201225.063,8096149.57,7915160.707,7383117.756,6284182.877,299696,299184,298920,298614,298196,294440,277652
Russia,883847532.5,824066298.9,810020070.8,786058987.6,761227258.9,601268646.5,330492648.6,54178296,52150763,51504358,50558842,49511623,39921294,23997078
Rwanda,2052510.578,1577224.853,762369.3378,706151.2287,499795.6193,205932.0629,88763.00881,35923,34582,29313,28489,24977,14356,4025
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,14378.62859,13988.38594,13755.09553,13556.292,13259.95375,12369.33079,10740.46254,299,296,295,294,291,277,250
Saint Lucia,52516.1327,51886.32698,51472.49927,51132.96929,50731.18582,49236.10367,45141.79558,840,838,836,835,833,822,776
Saint Pierre and Miquelon,6065.65972,5799.480039,5688.471537,5579.140544,5454.071972,4145.851516,1144.669841,6,6,5,5,5,5,1
Saint Vincent and the Grenadines,30910.5183,30067.20885,29661.50291,29370.60038,29110.61416,27792.75112,23298.25696,336,334,332,332,331,323,292
Saint-Barthélemy,787.3873845,723.5440901,688.2869744,657.7209799,621.9506204,484.3663076,307.6390984,2,2,2,2,1,1,1
Saint-Martin,2048.974132,1979.188687,1936.497456,1898.345855,1849.577093,1680.862475,1388.612586,44,43,43,43,43,39,34
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,1105.016228,1053.826473,1007.486683,928.914709,829.5404327,595.8860763,263.1170745,4,4,3,3,3,2,1
Saudi Arabia,31.76162623,13.84074246,6.807712392,6.807712392,6.807712392,6.734543925,0,3,3,0,0,0,0,0
Senegal,4785217.724,2403981.788,289082.9441,173408.2943,39568.36254,2065.261171,51.89120593,110199,55668,9493,6843,2737,393,28
Serbia,3026388.05,2943411.828,2901863.134,2839063.558,2730300.524,2504393.286,1918038.327,41773,41644,41560,41457,41308,40396,36480
Seychelles,12615.20034,10853.94892,8052.799018,7045.870464,6209.624619,2881.536064,300.7837107,7,6,6,5,5,3,1
Sierra Leone,7137726.105,7022355.255,6185242.277,6073502.6,5617878.286,3589286.635,242581.7234,982776,982182,974330,972044,957080,739231,58111
Singapore,21827.5884,20370.89606,19965.19368,19389.20791,18784.231,16768.86963,11502.59392,1456,1433,1413,1403,1383,1273,873
Sint Maarten,1138.784858,1097.255216,1069.495471,1049.353284,1022.179782,913.4842878,716.3847839,29,28,28,27,27,22,13
Slovakia,2490391.328,2457152.762,2439301.072,2422570.216,2396813.716,2298098.524,2016710.111,169068,168897,168781,168707,168606,167069,157303
Slovenia,1341918.018,1323655.098,1316304.001,1308308.929,1293520.847,1247111.03,1116634.591,28638,28581,28550,28517,28475,28030,25936
Solomon Islands,2750154.6,2747026.819,2745124.466,2743968.035,2741618.244,2731814.828,2687664.331,124105,124052,123999,123971,123919,123666,121994
Somalia,3886022.002,1331603.22,174485.8774,134815.6885,87128.07478,15648.49914,1089.598444,12995,9829,4804,4242,3239,1202,133
South Africa,22212926.33,13481072.11,7708859.518,7121247.445,5983115.079,3163002.03,1082118.828,1453832,1382849,1264078,1239709,1181865,991062,524192
